code,date,opponent,gf,ga,result,tournament,neutral
SWE,2025-09-08,KOS,0,2,L,FIFA World Cup qualification,False
SWE,2025-10-10,SUI,0,2,L,FIFA World Cup qualification,False
SWE,2025-10-13,KOS,0,1,L,FIFA World Cup qualification,False
SWE,2025-11-15,SUI,1,4,L,FIFA World Cup qualification,False
SWE,2025-11-18,SLO,1,1,D,FIFA World Cup qualification,False
SWE,2026-03-26,UKR,3,1,W,FIFA World Cup qualification,True
SWE,2026-03-31,POL,3,2,W,FIFA World Cup qualification,False
TUN,2024-11-14,MAD,3,2,W,African Cup of Nations qualification,True
TUN,2024-11-18,GAM,0,1,L,African Cup of Nations qualification,False
TUN,2025-03-19,LIB,1,0,W,FIFA World Cup qualification,False
TUN,2025-03-24,MAL,2,0,W,FIFA World Cup qualification,False
TUN,2025-09-04,LIB,3,0,W,FIFA World Cup qualification,False
TUN,2025-09-08,EQU,1,0,W,FIFA World Cup qualification,False
TUN,2025-10-10,SÃO,6,0,W,FIFA World Cup qualification,False
TUN,2025-10-13,NAM,3,0,W,FIFA World Cup qualification,False
TUN,2025-12-01,SYR,0,1,L,Arab Cup,True
TUN,2025-12-04,PAL,2,2,D,Arab Cup,True
TUN,2025-12-07,QAT,3,0,W,Arab Cup,False
TUN,2025-12-23,UGA,3,1,W,African Cup of Nations,True
TUN,2025-12-27,NIG,2,3,L,African Cup of Nations,True
TUN,2025-12-30,TAN,1,1,D,African Cup of Nations,True
TUN,2026-01-03,MAL,1,1,D,African Cup of Nations,True
BEL,2024-09-09,FRA,0,2,L,UEFA Nations League,False
BEL,2024-10-10,ITA,2,2,D,UEFA Nations League,False
BEL,2024-10-14,FRA,1,2,L,UEFA Nations League,False
BEL,2024-11-14,ITA,0,1,L,UEFA Nations League,False
BEL,2024-11-17,ISR,0,1,L,UEFA Nations League,True
BEL,2025-03-20,UKR,1,3,L,UEFA Nations League,True
BEL,2025-03-23,UKR,3,0,W,UEFA Nations League,False
BEL,2025-06-06,NOR,1,1,D,FIFA World Cup qualification,False
BEL,2025-06-09,WAL,4,3,W,FIFA World Cup qualification,False
BEL,2025-09-04,LIE,6,0,W,FIFA World Cup qualification,False
BEL,2025-09-07,KAZ,6,0,W,FIFA World Cup qualification,False
BEL,2025-10-10,NOR,0,0,D,FIFA World Cup qualification,False
BEL,2025-10-13,WAL,4,2,W,FIFA World Cup qualification,False
BEL,2025-11-15,KAZ,1,1,D,FIFA World Cup qualification,False
BEL,2025-11-18,LIE,7,0,W,FIFA World Cup qualification,False
EGY,2025-09-09,BUR,0,0,D,FIFA World Cup qualification,False
EGY,2025-10-08,DJI,3,0,W,FIFA World Cup qualification,True
EGY,2025-10-12,GUI,1,0,W,FIFA World Cup qualification,False
EGY,2025-11-14,UZB,0,2,L,Al Ain International Cup,True
EGY,2025-11-17,CPV,1,1,D,Al Ain International Cup,True
EGY,2025-12-02,KUW,1,1,D,Arab Cup,True
EGY,2025-12-06,UNI,1,1,D,Arab Cup,True
EGY,2025-12-09,JOR,0,3,L,Arab Cup,True
EGY,2025-12-22,ZIM,2,1,W,African Cup of Nations,True
EGY,2025-12-26,RSA,1,0,W,African Cup of Nations,True
EGY,2025-12-29,ANG,0,0,D,African Cup of Nations,True
EGY,2026-01-05,BEN,3,1,W,African Cup of Nations,True
EGY,2026-01-10,CIV,3,2,W,African Cup of Nations,True
