fixture_id,competition,season,date,home,away,home_goals,away_goals,outcome,p_home_mkt,p_draw_mkt,p_away_mkt,n_books
11855378,AFCON,2019,2019-06-30,Madagascar,Nigeria,2,0,0,0.14841634201798723,0.33658706136222105,0.5149965966197917,27
11855379,AFCON,2019,2019-06-30,Burundi,Guinea,0,2,2,0.17952755905511814,0.2692913385826772,0.5511811023622047,27
11855372,AFCON,2019,2019-06-30,Uganda,Egypt,0,2,2,0.12316808987809567,0.28161483065070064,0.5952170794712036,27
11855373,AFCON,2019,2019-06-30,Zimbabwe,Congo DR,0,4,2,0.3045550317570372,0.28377115794656677,0.41167381029639616,27
11855390,AFCON,2019,2019-07-01,South Africa,Morocco,0,1,2,0.21592811507055248,0.3895703076064551,0.39450157732299246,27
11855391,AFCON,2019,2019-07-01,Namibia,Côte d'Ivoire,1,4,2,0.07813923610883515,0.2060815018254993,0.7157792620656654,27
11855384,AFCON,2019,2019-07-01,Kenya,Senegal,0,3,2,0.10474367015482124,0.33076948469943546,0.5644868451457432,27
11855385,AFCON,2019,2019-07-01,Tanzania,Algeria,0,3,2,0.09957325746799431,0.1891891891891892,0.7112375533428165,27
11855402,AFCON,2019,2019-07-02,Benin,Cameroon,0,0,1,0.20430200779262245,0.33386000743395605,0.46183798477342153,28
11855403,AFCON,2019,2019-07-02,Guinea-Bissau,Ghana,0,2,2,0.10397553516819572,0.20795107033639143,0.6880733944954128,28
11855396,AFCON,2019,2019-07-02,Mauritania,Tunisia,0,0,1,0.09850364689074366,0.18715692909241297,0.7143394240168434,27
11855397,AFCON,2019,2019-07-02,Angola,Mali,0,1,2,0.2630211456209777,0.400687532477915,0.3362913219011072,27
11889503,AFCON,2019,2019-07-05,Morocco,Benin,1,1,1,0.6542140816974203,0.2432334406310922,0.10255247767148751,23
11888066,AFCON,2019,2019-07-05,Uganda,Senegal,0,1,2,0.11917643839077072,0.2576787857097745,0.6231447758994547,23
