fixture_id,season,date,home,away,home_goals,away_goals,outcome,p_home_mkt,p_draw_mkt,p_away_mkt,n_books,ou_line,p_over_mkt,p_under_mkt,settle_label,last_update
18452337,2022,2022-12-05,Brazil,Korea Republic,4,1,0,0.7752940153458197,0.15194762321403424,0.07275836144014615,35,2.5,0.5714285714285715,0.4285714285714286,1,2022-12-05 20:50:34
18452339,2022,2022-12-06,Morocco,Spain,0,0,1,0.15916847657461994,0.2513186472230841,0.5895128762022961,35,2.5,0.43320491740025996,0.56679508259974,X,2022-12-06 16:50:33
18452340,2022,2022-12-06,Portugal,Switzerland,6,1,0,0.5006569768229413,0.27166330276472106,0.2276797204123376,35,2.5,0.5013123359580053,0.49868766404199477,1,2022-12-06 20:50:29
18452329,2022,2022-12-09,Croatia,Brazil,1,1,1,0.11236730819021318,0.20540260636920685,0.68223008544058,35,2.5,0.5026455026455027,0.4973544973544974,X,2022-12-09 16:50:43
18452330,2022,2022-12-09,Netherlands,Argentina,2,2,1,0.2638348673316132,0.3063888781915508,0.429776254476836,35,2.5,0.3851919665846541,0.6148080334153458,X,2022-12-09 21:00:33
18452331,2022,2022-12-10,Morocco,Portugal,1,0,0,0.15581752947206562,0.25012813941568424,0.59405433111225,34,2.5,0.4557291666666667,0.5442708333333333,1,2022-12-10 16:55:19
18452332,2022,2022-12-10,England,France,1,2,2,0.33498029305825333,0.3095781394383993,0.3554415675033473,35,2.5,0.41025641025641024,0.5897435897435896,2,2022-12-10 21:00:17
18452327,2022,2022-12-13,Argentina,Croatia,3,0,0,0.4785591766723843,0.3087478559176673,0.21269296740994856,35,2.5,0.3869346733668342,0.6130653266331658,1,2022-12-13 20:55:14
18452328,2022,2022-12-14,France,Morocco,2,0,0,0.6024225064307213,0.24885443729419446,0.14872305627508434,35,2.5,0.4140104419811542,0.5859895580188457,1,2022-12-14 20:50:38
18452326,2022,2022-12-17,Croatia,Morocco,2,1,0,0.42217898832684825,0.2714007782101167,0.306420233463035,35,2.5,0.5171503957783641,0.48284960422163586,1,2022-12-17 16:50:15
18452325,2022,2022-12-18,Argentina,France,3,3,1,0.36171404565186954,0.30429911777062035,0.33398683657751016,35,2.5,0.427461139896373,0.5725388601036269,X,2022-12-18 17:01:03
19609127,2026,2026-06-11,Mexico,South Africa,2,0,0,,,,0,2.5,0.4283983269058244,0.5716016730941758,,2026-06-11 18:50:06
19609153,2026,2026-06-12,Korea Republic,Czech Republic,2,1,0,,,,0,2.5,0.43134621100565396,0.5686537889943459,,2026-06-12 01:50:04
19609154,2026,2026-06-12,Canada,Bosnia and Herzegovina,1,1,1,,,,0,2.5,0.42765756998910576,0.5723424300108944,,2026-06-12 18:50:08
19609133,2026,2026-06-13,United States,Paraguay,4,1,0,,,,0,2.5,0.39368349065890224,0.6063165093410977,,2026-06-13 00:50:05
19609130,2026,2026-06-13,Qatar,Switzerland,1,1,1,,,,0,2.5,0.5666206126807116,0.43337938731928843,,2026-06-13 18:50:04
19609131,2026,2026-06-13,Brazil,Morocco,1,1,1,,,,0,2.5,0.44520177723965715,0.5547982227603429,,2026-06-13 21:50:05
19609155,2026,2026-06-14,Haiti,Scotland,0,1,2,,,,0,2.5,0.5723424300108944,0.42765756998910576,,2026-06-14 00:50:05
19609156,2026,2026-06-14,Australia,Türkiye,2,0,0,,,,0,2.5,0.4622390682335929,0.537760931766407,,2026-06-14 03:50:04
19609158,2026,2026-06-14,Germany,Curacao,7,1,0,,,,0,2.5,0.8061800332676825,0.1938199667323176,,2026-06-14 16:50:04
19609138,2026,2026-06-14,Netherlands,Japan,2,2,1,,,,0,2.5,0.47505800464037123,0.5249419953596288,,2026-06-14 19:50:10
19609157,2026,2026-06-14,Côte d'Ivoire,Ecuador,1,0,0,,,,0,2.5,0.3478260869565217,0.6521739130434782,,2026-06-14 22:50:04
19609159,2026,2026-06-15,Sweden,Tunisia,5,1,0,,,,0,2.5,0.42931034482758623,0.5706896551724139,,2026-06-15 01:50:04
19609162,2026,2026-06-15,Spain,Cape Verde Islands,0,0,1,,,,0,2.5,0.732776617954071,0.26722338204592905,,2026-06-15 15:50:03
19609139,2026,2026-06-15,Belgium,Egypt,1,1,1,,,,0,2.5,0.5,0.5,,2026-06-15 18:50:04
19609161,2026,2026-06-15,Saudi Arabia,Uruguay,1,1,1,,,,0,2.5,0.4466466927863563,0.5533533072136436,,2026-06-15 21:50:06
19609160,2026,2026-06-16,Iran,New Zealand,2,2,1,,,,0,2.5,0.3899623913889249,0.610037608611075,,2026-06-16 00:50:03
19609143,2026,2026-06-16,France,Senegal,3,1,0,,,,0,2.5,0.5627186653056915,0.4372813346943086,,2026-06-16 18:50:05
19609163,2026,2026-06-16,Iraq,Norway,1,4,2,,,,0,2.5,0.5885328147726951,0.41146718522730485,,2026-06-16 21:50:04
19609145,2026,2026-06-17,Argentina,Algeria,3,0,0,,,,0,2.5,0.47563020771434983,0.5243697922856502,,2026-06-17 00:50:06
19609164,2026,2026-06-17,Austria,Jordan,3,1,0,,,,0,2.5,0.5079576716874359,0.49204232831256417,,2026-06-17 03:50:03
